,a,b,c,d
0,19315,26054,21945,21625
1,45778,32687,13590,51502
2,9661,28463,38792,12976
3,41162,28601,13640,218
4,59113,10432,28651,14820
5,59568,58252,33006,52536
6,15676,20197,56019,29627
7,53667,57399,17976,58826
8,20858,26118,25940,884
9,29322,4233,37708,26244
10,18225,39681,28212,38967
11,23596,52579,31394,59716
12,2065,48967,23663,13648
13,59816,3358,44328,27053
14,39097,8425,43519,2772
15,52720,32138,21634,31625
16,40202,59108,33366,27170
17,31950,19495,56867,39610
18,31775,23793,46273,54946
19,1678,58186,21067,58264
